City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Bhongir,IN,2022-10-21 00:12:52,17.5108,78.8889,70.21,92,6,2.19
265,Nuevo Progreso,MX,2022-10-21 00:12:53,23.1667,-97.95,73.47,54,46,4.38
266,Tala,EG,2022-10-21 00:12:53,30.6803,30.9429,66.2,78,0,5.59
267,Narsaq,GL,2022-10-21 00:12:54,60.9167,-46.05,32.22,65,70,2.8
268,Sorland,NO,2022-10-21 00:12:54,67.667,12.6934,42.66,78,100,11.5
269,Kruisfontein,ZA,2022-10-21 00:12:55,-34.0033,24.7314,53.89,85,36,3.62
270,Sao Joao Da Barra,BR,2022-10-21 00:12:55,-21.6403,-41.0511,74.48,83,65,26.46
271,Tecoanapa,MX,2022-10-21 00:12:56,16.5167,-98.75,77.09,87,100,6.69
272,Praya,CV,2022-10-21 00:13:56,14.9215,-23.5087,77.92,80,3,7.07
273,Kawalu,ID,2022-10-21 00:13:56,-7.3817,108.2082,74.66,94,100,1.16
274,Bhigvan,IN,2022-10-21 00:13:57,18.3167,74.7667,74.23,82,87,7.02
275,Champerico,GT,2022-10-21 00:13:57,14.3,-91.9167,81.01,81,92,7.74
276,Motala,SE,2022-10-21 00:13:57,58.5371,15.0365,35.8,81,98,4.56
277,Poddorye,RU,2022-10-21 00:13:58,57.4695,31.1156,40.15,96,100,3.67
278,Tual,ID,2022-10-21 00:13:58,-5.6667,132.75,84.13,71,99,5.14
279,Glens Falls,US,2022-10-21 00:13:59,43.3095,-73.644,45.18,65,0,5.75
280,Sendafa,ET,2022-10-21 00:13:59,9.15,39.0333,47.46,67,70,3.65
281,Amazar,RU,2022-10-21 00:14:00,53.858,120.875,28.8,80,26,1.83
282,Monrovia,LR,2022-10-21 00:14:00,6.3005,-10.7969,76.17,85,61,3.33
283,Plettenberg Bay,ZA,2022-10-21 00:14:00,-34.0527,23.3716,59.11,78,81,3.13
284,Novikovo,RU,2022-10-21 00:14:01,51.1537,37.8879,42.4,73,87,14.2
285,Bryan,US,2022-10-21 00:09:21,30.6744,-96.37,76.89,33,0,5.75
286,Waddan,LY,2022-10-21 00:14:01,29.1614,16.139,65.77,65,35,6.4
287,Grindavik,IS,2022-10-21 00:14:02,63.8424,-22.4338,41.47,75,0,11.5
288,La Palma,US,2022-10-21 00:13:23,33.8464,-118.0467,91.9,36,20,13.8
289,Mbala,ZM,2022-10-21 00:14:02,-8.8402,31.3659,64.8,47,94,8.55
290,Ust-Ilimsk,RU,2022-10-21 00:14:03,58.0006,102.6619,31.84,81,100,4.29
291,Warangal,IN,2022-10-21 00:14:04,18.0,79.5833,71.1,91,5,1.9
292,Erdenet,MN,2022-10-21 00:14:05,49.0333,104.0833,26.35,92,100,4.32
293,Porto Velho,BR,2022-10-21 00:14:05,-8.7619,-63.9039,76.19,89,99,0.65
294,Kibangay,PH,2022-10-21 00:14:06,8.0497,124.8931,70.07,84,99,1.99
